sep=;;;;;;
Dataset;k;accuracy;alpha;weights;individual_accs;time
pima;5;65.108;0.9;[0.177, 0.502, 0.030, 0.000, 0.156, 0.000, 0.135];[0.619, 0.568, 0.597, 0.389, 0.622, 0.389, 0.620];9.469
pima;5;65.108;1;[0.187, 0.645, 0.000, 0.000, 0.000, 0.000, 0.168];[0.619, 0.568, 0.597, 0.389, 0.622, 0.389, 0.620];8.218
pima;5;65.108;1;[0.191, 0.655, 0.002, 0.000, 0.000, 0.000, 0.152];[0.619, 0.568, 0.597, 0.389, 0.622, 0.389, 0.620];8.938
pima;7;65.108;0.1;[0.000, 0.000, 0.000, 0.915, 0.000, 0.000, 0.085];[0.720, 0.600, 0.615, 0.389, 0.631, 0.434, 0.628];8.22
pima;7;65.108;0.2;[0.000, 0.000, 0.000, 0.814, 0.008, 0.000, 0.178];[0.621, 0.600, 0.664, 0.349, 0.631, 0.389, 0.614];8.751
pima;7;65.108;0.4;[0.000, 0.000, 0.000, 0.847, 0.000, 0.000, 0.153];[0.712, 0.600, 0.615, 0.389, 0.629, 0.434, 0.622];8.427
pima;7;65.108;0;[0.051, 0.496, 0.000, 0.328, 0.074, 0.051, 0.000];[0.623, 0.589, 0.615, 0.349, 0.725, 0.431, 0.642];10.938
pima;7;65.108;0.3;[0.082, 0.000, 0.000, 0.048, 0.047, 0.642, 0.182];[0.634, 0.600, 0.613, 0.350, 0.715, 0.388, 0.629];10.508
pima;7;65.108;0.6;[0.000, 0.000, 0.020, 0.100, 0.000, 0.880, 0.000];[0.623, 0.602, 0.603, 0.391, 0.621, 0.388, 0.619];9.671
pima;7;65.108;0.7;[0.049, 0.000, 0.058, 0.723, 0.000, 0.000, 0.169];[0.632, 0.589, 0.603, 0.389, 0.631, 0.429, 0.629];9.455
pima;7;65.108;0.8;[0.061, 0.000, 0.045, 0.444, 0.000, 0.444, 0.007];[0.623, 0.589, 0.603, 0.389, 0.631, 0.389, 0.629];10.024
pima;7;65.108;0.9;[0.041, 0.000, 0.018, 0.323, 0.048, 0.323, 0.246];[0.623, 0.589, 0.603, 0.389, 0.631, 0.389, 0.629];10.408
pima;7;65.108;1;[0.059, 0.000, 0.000, 0.355, 0.000, 0.355, 0.231];[0.623, 0.589, 0.603, 0.389, 0.631, 0.389, 0.629];9.34
pima;7;65.108;1;[0.053, 0.000, 0.037, 0.336, 0.014, 0.336, 0.225];[0.623, 0.589, 0.603, 0.389, 0.631, 0.389, 0.629];10.327
pima;7;64.978;0.5;[0.066, 0.378, 0.000, 0.207, 0.014, 0.038, 0.296];[0.634, 0.589, 0.603, 0.487, 0.621, 0.388, 0.703];11.516
seismic-bumps;3;93.421;0;[1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000];[0.924, 0.934, 0.923, 0.924, 0.934, 0.934, 0.926];122.558
seismic-bumps;3;93.421;0.4;[0.867, 0.000, 0.000, 0.000, 0.000, 0.000, 0.133];[0.920, 0.934, 0.922, 0.921, 0.934, 0.934, 0.925];126.219
seismic-bumps;3;93.421;0.3;[1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000];[0.917, 0.934, 0.924, 0.923, 0.929, 0.934, 0.923];128.22
seismic-bumps;3;93.421;0.5;[0.000, 0.000, 0.872, 0.000, 0.000, 0.000, 0.128];[0.922, 0.934, 0.922, 0.934, 0.934, 0.934, 0.925];132.973
seismic-bumps;3;93.421;0.6;[0.000, 0.000, 0.838, 0.000, 0.000, 0.000, 0.162];[0.924, 0.934, 0.922, 0.924, 0.933, 0.934, 0.925];138.173
seismic-bumps;3;93.421;0.1;[0.785, 0.000, 0.000, 0.132, 0.000, 0.000, 0.083];[0.920, 0.934, 0.924, 0.915, 0.933, 0.934, 0.926];164.35
seismic-bumps;3;93.421;0.7;[0.893, 0.000, 0.000, 0.066, 0.000, 0.000, 0.042];[0.920, 0.934, 0.921, 0.925, 0.933, 0.934, 0.922];159.366
seismic-bumps;3;93.421;0.8;[0.000, 0.000, 0.908, 0.000, 0.000, 0.000, 0.092];[0.924, 0.934, 0.922, 0.934, 0.933, 0.934, 0.923];134.573
seismic-bumps;3;93.421;0.2;[0.089, 0.000, 0.622, 0.131, 0.000, 0.000, 0.158];[0.920, 0.934, 0.924, 0.915, 0.934, 0.934, 0.919];175.495
seismic-bumps;3;93.421;0.9;[0.000, 0.000, 0.768, 0.164, 0.000, 0.000, 0.068];[0.922, 0.934, 0.922, 0.934, 0.933, 0.934, 0.923];158.7
seismic-bumps;3;93.421;1;[0.000, 0.000, 0.689, 0.000, 0.000, 0.000, 0.311];[0.922, 0.934, 0.922, 0.934, 0.933, 0.934, 0.923];129.89
